Ward_code,Ward,Borough,Life_Expectancy,Childhood_Obesity,Incapacity_Benefit,Unemployment_Rate,Crime_Rate,Deliberate_Fires,GCSE_points,Unauthorised_Absence,Dependent_children,Public_Transport_Access,Homes_with_access,Wellbeing_score
E05000168,West Thornton,Croydon,81.00972304,27.80487805,1.896551724,7.700839627,104.1947501,0.788732394,342.9625532,1.375681651,19.23809524,3.13128284,-4.977331934,7.5
E05000169,Woodside,Croydon,81.8445707,23.36601307,1.674008811,8.210774828,99.88208953,0.530973451,340.4314433,1.293525741,24.63917526,3.700291407,0.176980258,7.3
E05000170,Acton Central,Ealing,82.62334522,18.99736148,1.636363636,6.812754826,118.9124023,0.063897764,342.7478632,0.998369565,21.25,3.135169639,5.581676289,7.7
E05000171,Cleveland,Ealing,82.97332004,18.82845188,1.865284974,5.724272748,62.71577074,0.204081633,352.6883212,0.817804478,19.46666667,3.033226042,4.229538669,8.0
E05000172,Dormers Wells,Ealing,80.56894475,24.39478585,2.324324324,8.81855781,71.02476995,0.213523132,333.2119497,0.727612293,21.33333333,3.336019152,8.337092088,8.1
E05000173,Ealing Broadway,Ealing,81.48999927,14.79289941,1.290322581,3.449932695,108.935797,0.134680135,371.5616162,0.819115549,9.215686275,5.03621398,-7.65860368,8.0
E05000174,Ealing Common,Ealing,80.7549433,19.7044335,1.45631068,4.579691061,93.68424006,0.212014134,340.9975155,1.06,15.09803922,3.582906414,5.998582212,8.0
E05000175,East Acton,Ealing,82.34856997,23.6673774,1.263537906,7.587405033,70.46543512,0.311688312,330.0402597,1.270699058,26.66666667,3.976615234,2.649584489,7.7
E05000176,Elthorne,Ealing,81.11179234,22.02970297,2,5.626746028,88.3553633,0.135135135,338.6129252,0.969138495,17.97101449,3.820471872,1.743413875,8.0
E05000177,Greenford Broadway,Ealing,80.13910298,23.76395534,2.061403509,7.274531543,99.26105855,0.396600567,335.8937173,0.990288316,23.03030303,3.394188166,2.9184144,7.7
E05000178,Greenford Green,Ealing,82.79193208,22.88329519,1.302083333,4.531930852,72.55667735,0.138408304,369.797973,0.709677419,12.95774648,2.618624911,4.548356115,7.7
E05000179,Hanger Hill,Ealing,85.0080603,17.27941176,0.853080569,3.130325136,66.11941559,0.127388535,370.1936508,0.994810544,9.852941176,3.670560966,-5.841258596,7.7
E05000180,Hobbayne,Ealing,81.55915309,20.91097308,2.085561497,5.484115382,66.45507623,0.350877193,354.8213115,0.893764761,19.74025974,3.109289379,6.132219821,8.0
E05000181,Lady Margaret,Ealing,80.89468728,21.19341564,1.666666667,6.442025962,64.41873722,0.642857143,358.3174603,0.814798851,17.31343284,3.032537461,5.610021029,8.1
E05000182,Northfield,Ealing,83.93449922,13.52941176,0.793650794,2.437557977,58.15358436,0.294117647,384.5414634,0.323146223,6.271186441,3.370011785,4.432989805,8.0
E05000183,North Greenford,Ealing,84.28816161,23.99193548,1.15,3.757402911,71.12913172,0.608108108,358.9875862,0.937667699,11.26760563,2.590912822,10.38945529,7.7
E05000184,Northolt Mandeville,Ealing,82.81435535,23.83512545,1.919191919,7.330479586,73.7655455,0.786885246,340.3417112,1.037414966,22.97619048,3.189994328,11.35773379,7.7
E05000185,Northolt West End,Ealing,80.40882231,20,2.628865979,9.121289834,97.7421368,0.462046205,346.2837079,1.056148492,26.26373626,2.544644519,8.331732054,7.7
E05000186,Norwood Green,Ealing,79.62205962,22.50996016,3.367875648,10.06823799,70.73800413,0.777385159,337.0587209,1.13943662,25.57142857,2.325638174,12.51650131,8.1
E05000187,Perivale,Ealing,83.75560056,23.79958246,1.626794258,4.841190676,80.52265142,0.064935065,356.8067797,0.848001998,13.69863014,2.307623984,5.405836856,7.7
E05000188,South Acton,Ealing,79.15726795,27.29591837,1.643192488,7.152448672,89.20893337,0.128617363,344.1708029,0.958318099,24.86486486,4.576727328,3.392937592,7.7
E05000189,Southall Broadway,Ealing,80.94894472,23.6,2.45,8.197766446,118.6142451,1.016949153,338.273125,1.127597254,18.15789474,3.248759423,-2.4764459,8.1
E05000190,Southall Green,Ealing,79.97161007,24.40366972,2.425742574,10.38645453,95.41958471,0.808080808,340.6661376,1.105185185,20,3.037982736,0.598115368,8.1
E05000191,Southfield,Ealing,83.00176779,16.16766467,0.942408377,3.040294024,82.08097871,0.296296296,353.1963636,0.99092219,11.45454545,3.081615531,4.930874022,7.7
